19:59:51:662 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/soap-envelope-2.1.0-Streaming.jar
19:59:51:662 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/wss4j-ws-security-common-3.0.5.jar
19:59:51:662 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/opensaml-xmlsec-impl-4.3.2.jar
19:59:51:663 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/dss-model-6.0.jar
19:59:51:663 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/vibilia-framework-10.18.3.jar
19:59:51:663 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/log4j-slf4j2-impl-2.26.0.jar
19:59:51:663 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/osci-bibliothek-2.4.8.jar
19:59:51:663 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/oasis-dss-core-schema-v1.0-os-2.1.0-Streaming.jar
19:59:51:664 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/cxf-rt-databinding-jaxb-4.2.0.jar
19:59:51:664 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/cxf-rt-wsdl-4.2.0.jar
19:59:51:664 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/woodstox-core-7.1.1.jar
19:59:51:664 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/log4j-over-slf4j-2.0.17.jar
19:59:51:665 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/jakarta.mail-api-2.1.5.jar
19:59:51:665 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/jaxb-runtime-4.0.8.jar
19:59:51:665 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/guava-33.6.0-jre.jar
19:59:51:665 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/csl_algo_catalog-4.3.0.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/ecard-2.1.0-Streaming.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/csl_jce-4.3.0.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/csl_inspect_fo-4.3.0.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/jakarta.xml.ws-api-4.0.3.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/csl_utilities-4.3.0.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/csl_validate_model_base-4.3.0.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/csl_xades_validate-4.3.0.jar
19:59:51:666 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/dss-pades-6.0.jar
19:59:51:667 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/regex-25.0.3.jar
19:59:51:667 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/fop-util-2.11.jar
19:59:51:667 INFO  de.governikus.updater.client.Updater.canWrite(Updater.java:1036) - /Users/martinotten/Governikus KG/COM Vibilia beSt/libs/okhttp-4.12.0.jar
