literal_id,category,cleartext,source_files_before_redaction,created_at
CONF_LITERAL_001,ORTSFRAGMENT_MANDATSBEZUG,Sührkow,zitate_register/check_legacy_ocr_pilot.py;zitate_register/check_no_confidential_literals_in_guard_code.py;zitate_register/check_legacy_full_ocr.py;zitate_register/check_legacy_intake_no_confidential_in_repo.py;tests/test_legacy_intake_confidentiality.py,2026-07-04
CONF_LITERAL_002,SHARED_DRIVE_ID,0AKQ2BXq5Y6L8Uk9PVA,zitate_register/check_no_confidential_literals_in_guard_code.py;zitate_register/check_legacy_intake_no_confidential_in_repo.py;tests/test_p0_safety_guards.py,2026-07-04
CONF_LITERAL_003,DRIVE_FILE_ID,1AmIWKu9Oze2oKyuKUn8uwZOHvRttxn0EEHq_IFqL1iY,tests/test_legacy_intake_confidentiality.py,2026-07-04
